Province_State,Time,Confirmed,Deaths,Recovered,People_Tested,Testing_Rate,Total_people,R,t
Texas,2020/4/12 23:18,13780,306,2014,124533,541.811523,22984561,2320,1
Texas,2020/4/13 23:07,14328,337,2269,133226,579.6325629,22984561,2606,2
Texas,2020/4/14 23:33,15088,363,2580,146467,637.2407983,22984561,2943,3
Texas,2020/4/15 22:56,16044,406,3150,151810,660.4868372,22984561,3556,4
Texas,2020/4/16 23:30,16985,440,3677,158547,689.7978169,22984561,4117,5
Texas,2020/4/17 23:30,17925,479,4190,169536,737.608171,22984561,4669,6
Texas,2020/4/18 22:32,18724,501,4806,176239,766.7712253,22984561,5307,7
Texas,2020/4/19 23:41,19282,521,5334,182710,794.9249063,22984561,5855,8
Texas,2020/4/20 23:36,19847,542,5706,190394,828.356043,22984561,6248,9
Texas,2020/4/21 23:40,20785,574,6486,205399,893.6389953,22984561,7060,10
Texas,2020/4/22 23:40,21577,596,7341,216783,943.1678943,22984561,7937,11
Texas,2020/4/24 3:33,22797,645,8025,225078,979.2573371,22984561,8670,12
Texas,2020/4/25 6:32,23772,663,9156,242547,1055.260529,22984561,9819,13
Texas,2020/4/26 2:32,24287,678,9986,262816,1143.445811,22984561,10664,14
Texas,2020/4/27 2:32,25051,699,10763,276021,1200.89742,22984561,11462,15
Texas,2020/4/28 2:32,25565,717,11170,290517,1263.965842,22984561,11887,16
Texas,2020/4/29 2:32,26506,764,11786,300384,1306.894659,22984561,12550,17
Texas,2020/4/30 2:32,27542,803,12507,314790,1369.571514,22984561,13310,18
Texas,2020/5/1 2:32,28890,847,12507,314790,1369.571514,22984561,13354,19
Texas,2020/5/2 2:32,29970,882,14122,351775,1530.483876,22984561,15004,20
Texas,2020/5/3 2:32,31126,917,14891,380648,1656.102981,22984561,15808,21
Texas,2020/5/4 2:32,32123,940,15544,390560,1699.227582,22984561,16484,22
Texas,2020/5/5 2:32,32889,965,16090,407398,1772.485452,22984561,17055,23
Texas,2020/5/6 2:32,34137,984,16791,427210,1858.682443,22984561,17775,24
Texas,2020/5/7 2:32,35225,1013,17622,438938,1909.707999,22984561,18635,25
Texas,2020/5/8 2:32,36244,1046,18440,455162,1980.294512,22984561,19486,26
Texas,2020/5/9 2:32,37530,1081,19197,477118,2075.819503,22984561,20278,27
Texas,2020/5/10 2:32,38983,1117,20141,489294,2128.794194,22984561,21258,28
Texas,2020/5/11 2:32,39807,1150,21022,501776,2183.100212,22984561,22172,29
Texas,2020/5/12 3:32,40701,1179,21713,525697,2287.174421,22984561,22892,30
